region,species,disease,prevalence_pct,report_date
East Africa,Cattle,Foot and Mouth Disease,12.4,2026-03-15
East Africa,Poultry,Avian Influenza H5N1,8.7,2026-03-20
South Asia,Swine,African Swine Fever,15.2,2026-03-18
Southeast Asia,Poultry,Newcastle Disease,9.3,2026-03-22
West Africa,Cattle,Lumpy Skin Disease,6.1,2026-03-10
Central America,Swine,Classical Swine Fever,4.8,2026-03-25
South America,Cattle,Brucellosis,7.2,2026-03-14
East Africa,Goats,Rift Valley Fever,11.5,2026-03-19
South Asia,Poultry,Avian Influenza H9N2,13.1,2026-03-21
Horn of Africa,Cattle,Bovine Pleuropneumonia,9.8,2026-03-16
